candidate_id,rank,score,reasoning
CAND_0000057,85,48.2320,"DevOps Engineer with 11.1 yrs; 0 matched skills; actively seeking."
CAND_0000077,86,48.1675,"Product Manager with 7.5 yrs; 0 matched skills; response rate 30%."
CAND_0000117,87,48.1330,"DevOps Engineer with 11.1 yrs; 0 matched skills; actively seeking."
CAND_0000045,88,47.0380,"DevOps Engineer with 11.1 yrs; 0 matched skills; actively seeking."
CAND_0000105,89,46.9390,"DevOps Engineer with 11.1 yrs; 0 matched skills; actively seeking."
CAND_0000020,90,46.9150,"Frontend Engineer with 10.5 yrs; 0 matched skills; response rate 45%."
CAND_0000091,91,46.8205,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 25%."
CAND_0000080,92,46.8160,"Frontend Engineer with 10.5 yrs; 0 matched skills; response rate 45%."
CAND_0000043,93,46.5790,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 85%."
CAND_0000103,94,46.4800,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 85%."
CAND_0000010,95,46.3800,"Data Engineer with 12.3 yrs; 0 matched skills; response rate 70%."
CAND_0000070,96,46.2810,"Data Engineer with 12.3 yrs; 0 matched skills; response rate 70%."
CAND_0000130,97,46.1820,"Data Engineer with 12.3 yrs; 0 matched skills; response rate 70%."
CAND_0000007,98,46.0315,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 55%."
CAND_0000067,99,45.9325,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 55%."
CAND_0000127,100,45.8335,"Backend Engineer with 9.3 yrs; 0 matched skills; response rate 55%."
